"gene","mean_cnv","chr","start","stop","alteration","mean_solid","mean_ascites","solid_status","ascites_status","shared","site_specific"
"ERRFI1",0.995680443339037,"chr1",8004404,8026309,"Neutral",0.989509330140864,1.01514678743129,"Neutral","Neutral",FALSE,FALSE
"ENO1",0.994447682941634,"chr1",8861000,8879190,"Neutral",0.988319829159895,1.01377756823651,"Neutral","Neutral",FALSE,FALSE
"SLC2A5",0.992954455480282,"chr1",9035106,9088478,"Neutral",0.986809600627595,1.01233796946197,"Neutral","Neutral",FALSE,FALSE
"GPR157",0.991568546833442,"chr1",9100305,9129102,"Neutral",0.985380705802105,1.01108765770307,"Neutral","Neutral",FALSE,FALSE
"SPSB1",0.990238003299798,"chr1",9292894,9369532,"Neutral",0.984012115265894,1.00987713077257,"Neutral","Neutral",FALSE,FALSE
"CASZ1",0.988920805744047,"chr1",10636604,10796650,"Neutral",0.982615961067102,1.00880899641376,"Neutral","Neutral",FALSE,FALSE
"SRM",0.987470027337741,"chr1",11054584,11060020,"Neutral",0.981087711842289,1.00760259427503,"Neutral","Neutral",FALSE,FALSE
"FBXO2",0.986092365700398,"chr1",11637018,11655785,"Neutral",0.979655437867966,1.00639720342728,"Neutral","Neutral",FALSE,FALSE
"TNFRSF1B",0.98459899471786,"chr1",12166991,12209228,"Neutral",0.978129173896226,1.00500759107393,"Neutral","Neutral",FALSE,FALSE
"DHRS3",0.983572820393019,"chr1",12567910,12618210,"Neutral",0.977028296816739,1.00421706135321,"Neutral","Neutral",FALSE,FALSE
"KAZN",0.98255356489651,"chr1",13892792,15118043,"Neutral",0.975995909791377,1.00323922834417,"Neutral","Neutral",FALSE,FALSE
"TMEM51",0.981336577690951,"chr1",15152532,15220478,"Neutral",0.974763425127077,1.0020711267861,"Neutral","Neutral",FALSE,FALSE
"EFHD2",0.980112581332419,"chr1",15409888,15430339,"Neutral",0.973469700423771,1.00106708360437,"Neutral","Neutral",FALSE,FALSE
"FBLIM1",0.979282968468648,"chr1",15756607,15786594,"Neutral",0.972667736360291,1.0001502545378,"Neutral","Neutral",FALSE,FALSE
"EPHA2",0.978543951837083,"chr1",16124337,16156069,"Neutral",0.97192882211798,0.999410914926511,"Neutral","Neutral",FALSE,FALSE
"MFAP2",0.977911516051344,"chr1",16974502,16980632,"Neutral",0.971284081338008,0.998817294382704,"Neutral","Neutral",FALSE,FALSE
"NBL1",0.977155387606298,"chr1",19596979,19658456,"Neutral",0.970485946552388,0.998193671995059,"Neutral","Neutral",FALSE,FALSE
"CAMK2N1",0.976417666678701,"chr1",20482391,20486210,"Neutral",0.969747099743464,0.997459502581207,"Neutral","Neutral",FALSE,FALSE
"ECE1",0.975837779699532,"chr1",21217247,21345572,"Neutral",0.96921592904735,0.99672594350133,"Neutral","Neutral",FALSE,FALSE
"ALPL",0.975232319603195,"chr1",21509397,21578410,"Neutral",0.968673139273357,0.9959227942653,"Neutral","Neutral",FALSE,FALSE
"HSPG2",0.974756834052383,"chr1",21822244,21937310,"Neutral",0.968224316987117,0.995363201315042,"Neutral","Neutral",FALSE,FALSE
"C1QA",0.974312912771184,"chr1",22635077,22639678,"Neutral",0.967844018774898,0.994718585521651,"Neutral","Neutral",FALSE,FALSE
"C1QC",0.974214767719756,"chr1",22643014,22648110,"Neutral",0.967797891781272,0.994456353152482,"Neutral","Neutral",FALSE,FALSE
"C1QB",0.974570970880256,"chr1",22652762,22661637,"Neutral",0.968263190667246,0.994468421492751,"Neutral","Neutral",FALSE,FALSE
"EPHB2",0.975516411447236,"chr1",22710839,22921500,"Neutral",0.969367265433824,0.994913461594692,"Neutral","Neutral",FALSE,FALSE
"TCEA3",0.976525637235719,"chr1",23380909,23424748,"Neutral",0.970555834315641,0.995356962164189,"Neutral","Neutral",FALSE,FALSE
"ID3",0.977479144622007,"chr1",23557926,23559501,"Neutral",0.971688293877504,0.995745977454171,"Neutral","Neutral",FALSE,FALSE
"RPL11",0.978341301844522,"chr1",23691742,23696835,"Neutral",0.972681307920488,0.996195356007377,"Neutral","Neutral",FALSE,FALSE
"GALE",0.979207021522297,"chr1",23795599,23800781,"Neutral",0.973728677778499,0.99648807292223,"Neutral","Neutral",FALSE,FALSE
"FUCA1",0.97994946629048,"chr1",23845077,23868290,"Neutral",0.974669873624716,0.996603571343866,"Neutral","Neutral",FALSE,FALSE
"CLIC4",0.980721852870443,"chr1",24745382,24844321,"Neutral",0.975628170831349,0.996789515881212,"Neutral","Neutral",FALSE,FALSE
"RUNX3",0.981434213632667,"chr1",24899511,24965121,"Neutral",0.976515335544575,0.996950469830818,"Neutral","Neutral",FALSE,FALSE
"STMN1",0.982367915054543,"chr1",25884181,25906991,"Neutral",0.977628605695275,0.997317734282374,"Neutral","Neutral",FALSE,FALSE
"SH3BGRL3",0.983256551003521,"chr1",26280086,26281522,"Neutral",0.978659782890357,0.997756733860262,"Neutral","Neutral",FALSE,FALSE
"HMGN2",0.984922106021307,"chr1",26472440,26476642,"Neutral",0.980592977070935,0.99857803989603,"Neutral","Neutral",FALSE,FALSE
"SFN",0.986594156013176,"chr1",26863149,26864456,"Neutral",0.982498465133848,0.999513725852878,"Neutral","Neutral",FALSE,FALSE
"TRNP1",0.988185101674139,"chr1",26993692,27000886,"Neutral",0.984324164225842,1.00036415826793,"Neutral","Neutral",FALSE,FALSE
"IFI6",0.989618584647982,"chr1",27666064,27672212,"Neutral",0.985900071065931,1.00134837513722,"Neutral","Neutral",FALSE,FALSE
"THEMIS2",0.991197662406111,"chr1",27872543,27886685,"Neutral",0.987675816311792,1.00230707908839,"Neutral","Neutral",FALSE,FALSE
"SMPDL3B",0.992606320931462,"chr1",27935000,27959157,"Neutral",0.989248152838788,1.00319942682862,"Neutral","Neutral",FALSE,FALSE
"PTAFR",0.993892323544844,"chr1",28147166,28193936,"Neutral",0.990655823488677,1.00410163614773,"Neutral","Neutral",FALSE,FALSE
"SESN2",0.995232936673187,"chr1",28259518,28282491,"Neutral",0.992095247621478,1.00513055688751,"Neutral","Neutral",FALSE,FALSE
"SNHG12",0.996555345642538,"chr1",28578538,28583132,"Neutral",0.993499442804395,1.006194976978,"Neutral","Neutral",FALSE,FALSE
"RAB42",0.99787164509634,"chr1",28592200,28595449,"Neutral",0.994898318363402,1.00725079589513,"Neutral","Neutral",FALSE,FALSE
"LAPTM5",0.999251522574016,"chr1",30732469,30757774,"Neutral",0.996345409505215,1.00841865257984,"Neutral","Neutral",FALSE,FALSE
"SDC3",1.00111845500547,"chr1",30869466,30908758,"Neutral",0.99821782943542,1.01026827508106,"Neutral","Neutral",FALSE,FALSE
"FABP3",1.00296302109098,"chr1",31365253,31376850,"Neutral",1.00011331668491,1.01195221392352,"Neutral","Neutral",FALSE,FALSE
"SERINC2",1.00480669492511,"chr1",31409565,31434680,"Neutral",1.00195110921826,1.01381443990877,"Neutral","Neutral",FALSE,FALSE
"TINAGL1",1.00670680805625,"chr1",31576485,31587686,"Neutral",1.0039096017503,1.01553039931118,"Neutral","Neutral",FALSE,FALSE
"LCK",1.00859113349868,"chr1",32251244,32286165,"Neutral",1.00581883351735,1.01733615949815,"Neutral","Neutral",FALSE,FALSE
"MARCKSL1",1.0108309114633,"chr1",32333839,32336233,"Neutral",1.00815031254597,1.01928667288305,"Neutral","Neutral",FALSE,FALSE
"KIAA1522",1.01287888124719,"chr1",32741830,32774970,"Neutral",1.0102651175736,1.02112381557457,"Neutral","Neutral",FALSE,FALSE
"TMEM54",1.01497590531087,"chr1",32894594,32901438,"Neutral",1.01242293626032,1.0230290672606,"Neutral","Neutral",FALSE,FALSE
"RNF19B",1.01741147703889,"chr1",32936445,32964809,"Neutral",1.01500437005858,1.02500452731051,"Neutral","Neutral",FALSE,FALSE
"CLSPN",1.02000906717457,"chr1",35720218,35769978,"Neutral",1.01771334649611,1.02725075716333,"Neutral","Neutral",FALSE,FALSE
"EVA1B",1.0226952443659,"chr1",36322030,36324154,"Neutral",1.02064139228599,1.02917397681142,"Neutral","Neutral",FALSE,FALSE
"CSF3R",1.02549310109053,"chr1",36466043,36483278,"Neutral",1.02365992807654,1.03127571688851,"Neutral","Neutral",FALSE,FALSE
"ZC3H12A",1.02860700629892,"chr1",37474580,37484377,"Neutral",1.02696757826151,1.03377846714658,"Neutral","Neutral",FALSE,FALSE
"DNALI1",1.0321694809692,"chr1",37556919,37566857,"Neutral",1.03076242128416,1.03660795213439,"Neutral","Neutral",FALSE,FALSE
"CDCA8",1.03596396338283,"chr1",37692481,37709719,"Neutral",1.03475975520747,1.03976255367723,"Neutral","Neutral",FALSE,FALSE
"MYCL",1.03978067421726,"chr1",39895428,39902256,"Neutral",1.03884090401583,1.04274511345559,"Neutral","Neutral",FALSE,FALSE
"PPT1",1.04372945507652,"chr1",40072710,40097260,"Neutral",1.04313627108245,1.04560061241357,"Neutral","Neutral",FALSE,FALSE
"COL9A2",1.04840124544567,"chr1",40300489,40317813,"Neutral",1.04803312166116,1.0495624661246,"Neutral","Neutral",FALSE,FALSE
"CITED4",1.05315458355586,"chr1",40861054,40862363,"Gain",1.0530160643573,1.05359153265983,"Gain","Gain",TRUE,FALSE
"YBX1",1.05783890268779,"chr1",42682418,42703805,"Gain",1.05792947379617,1.05755320247393,"Gain","Gain",TRUE,FALSE
"SLC2A1",1.06195526078556,"chr1",42925353,42958893,"Gain",1.06229729664869,1.06087633262629,"Gain","Gain",TRUE,FALSE
"TMEM125",1.06608046782803,"chr1",43269983,43274002,"Gain",1.06669185303228,1.06415189604906,"Gain","Gain",TRUE,FALSE
"CDC20",1.07008523317073,"chr1",43358981,43363203,"Gain",1.07100844120113,1.06717303814023,"Gain","Gain",TRUE,FALSE
"PTPRF",1.07413622674718,"chr1",43525187,43623666,"Gain",1.07539542639594,1.07016416970389,"Gain","Gain",TRUE,FALSE
"KIF2C",1.07776528317451,"chr1",44739818,44767767,"Gain",1.07924828230813,1.07308726634081,"Gain","Gain",TRUE,FALSE
"RPS8",1.08147789681443,"chr1",44775251,44778779,"Gain",1.0832497158906,1.07588881771342,"Gain","Gain",TRUE,FALSE
"PRDX1",1.08475532692097,"chr1",45510914,45542732,"Gain",1.08677352946211,1.07838904844706,"Gain","Gain",TRUE,FALSE
"PIK3R3",1.08738268632872,"chr1",46040140,46133036,"Gain",1.08960329943719,1.08037791790571,"Gain","Gain",TRUE,FALSE
"TSPAN1",1.08955372650151,"chr1",46175073,46185962,"Gain",1.09203001264673,1.08174245540245,"Gain","Gain",TRUE,FALSE
"UQCRH",1.09123636258397,"chr1",46303698,46316776,"Gain",1.0939841181223,1.08256876030982,"Gain","Gain",TRUE,FALSE
"CYP4B1",1.09175689361546,"chr1",46757838,46819413,"Gain",1.09475896294591,1.08228707630717,"Gain","Gain",TRUE,FALSE
"PDZK1IP1",1.09216147683931,"chr1",47183582,47191044,"Gain",1.0953962904926,1.08195748387611,"Gain","Gain",TRUE,FALSE
"CDKN2C",1.09226999651892,"chr1",50960745,50974634,"Gain",1.09574774049576,1.08129969687542,"Gain","Gain",TRUE,FALSE
"LRP8",1.09221962140536,"chr1",53242364,53328469,"Gain",1.0959315921522,1.08051046983126,"Gain","Gain",TRUE,FALSE
"ACOT11",1.0924102783218,"chr1",54542257,54639192,"Gain",1.09630692734463,1.08011857206891,"Gain","Gain",TRUE,FALSE
"DHCR24",1.09207072515674,"chr1",54849627,54887195,"Gain",1.09614452440325,1.07922021093852,"Gain","Gain",TRUE,FALSE
"PLPP3",1.09136872203787,"chr1",56494761,56645301,"Gain",1.09563154284195,1.07792195256353,"Gain","Gain",TRUE,FALSE
"PRKAA2",1.09079810056939,"chr1",56645314,56715335,"Gain",1.09518496197826,1.07696005370041,"Gain","Gain",TRUE,FALSE
"TACSTD2",1.09008406192833,"chr1",58575433,58577252,"Gain",1.09459587131547,1.07585187541866,"Gain","Gain",TRUE,FALSE
"JUN",1.08879549432906,"chr1",58776845,58784048,"Gain",1.09355039027473,1.07379650830677,"Gain","Gain",TRUE,FALSE
"HOOK1",1.08645937951969,"chr1",59814786,59876322,"Gain",1.09118678289049,1.07154711689808,"Gain","Gain",TRUE,FALSE
"NFIA",1.08330428080992,"chr1",60865259,61462788,"Gain",1.08803286735596,1.06838828594494,"Gain","Gain",TRUE,FALSE
"PATJ",1.07989643565185,"chr1",61742477,62178675,"Gain",1.08455030771666,1.06521612238166,"Gain","Gain",TRUE,FALSE
"USP1",1.07606197991542,"chr1",62436297,62451804,"Gain",1.08055274960312,1.06189616166311,"Gain","Gain",TRUE,FALSE
"PGM1",1.07208933281475,"chr1",63593411,63660245,"Gain",1.076441018476,1.05836224537642,"Gain","Gain",TRUE,FALSE
"AK4",1.06814491099455,"chr1",65147549,65232145,"Gain",1.0723086494059,1.05501068998408,"Gain","Gain",TRUE,FALSE
"PDE4B",1.06388145390334,"chr1",65792514,66374579,"Gain",1.06786181981421,1.05132566859428,"Gain","Gain",TRUE,FALSE
"GADD45A",1.06013124686942,"chr1",67685201,67688334,"Gain",1.0639670771596,1.04803138904634,"Gain","Neutral",FALSE,TRUE
"GNG12",1.05625809194674,"chr1",67701475,67833467,"Gain",1.05986107032459,1.04489274916207,"Gain","Neutral",FALSE,TRUE
"WLS",1.05245386261359,"chr1",68098473,68233120,"Gain",1.05579943350008,1.04190049372049,"Gain","Neutral",FALSE,TRUE
"DEPDC1",1.04874670946118,"chr1",68474152,68497221,"Neutral",1.05177315387263,1.0392000026682,"Gain","Neutral",FALSE,TRUE
"DNAJB4",1.04447918696832,"chr1",77979175,78017964,"Neutral",1.04715716950735,1.03603167873056,"Neutral","Neutral",FALSE,FALSE
"IFI44L",1.0404191085973,"chr1",78619902,78646145,"Neutral",1.04269596883607,1.03323691254376,"Neutral","Neutral",FALSE,FALSE
"IFI44",1.03704617470952,"chr1",78649796,78664078,"Neutral",1.03901735070748,1.0308282381703,"Neutral","Neutral",FALSE,FALSE
"ADGRL2",1.03383747091815,"chr1",81306147,81993932,"Neutral",1.03552746284793,1.02850650981571,"Neutral","Neutral",FALSE,FALSE
"SSX2IP",1.03093607747493,"chr1",84643706,84690803,"Neutral",1.0323493369514,1.02647804950216,"Neutral","Neutral",FALSE,FALSE
"LPAR3",1.0282735481611,"chr1",84811602,84893206,"Neutral",1.0293700983699,1.02481455737716,"Neutral","Neutral",FALSE,FALSE
"DDAH1",1.02598415801213,"chr1",85318481,85578363,"Neutral",1.02680468332666,1.0233958684125,"Neutral","Neutral",FALSE,FALSE
"HS2ST1",1.02429195758834,"chr1",86914635,87109982,"Neutral",1.02483159913863,1.02258969613776,"Neutral","Neutral",FALSE,FALSE
"GBP1",1.02297662556424,"chr1",89051882,89065360,"Neutral",1.02327529770192,1.02203448523782,"Neutral","Neutral",FALSE,FALSE
"GBP4",1.02168490948743,"chr1",89181144,89198942,"Neutral",1.02177366182951,1.02140494644438,"Neutral","Neutral",FALSE,FALSE
"GBP5",1.02065226465912,"chr1",89256189,89272860,"Neutral",1.02050725817179,1.02110967746088,"Neutral","Neutral",FALSE,FALSE
"TGFBR3",1.01978433524304,"chr1",91680343,91906335,"Neutral",1.01941030406096,1.02096419039359,"Neutral","Neutral",FALSE,FALSE
"RPL5",1.01897306331794,"chr1",92832013,92841924,"Neutral",1.01835462631393,1.02092387950507,"Neutral","Neutral",FALSE,FALSE
"CCDC18",1.01798401930957,"chr1",93179919,93278730,"Neutral",1.01715602084903,1.02059588242458,"Neutral","Neutral",FALSE,FALSE
"FNBP1L",1.01727005752327,"chr1",93448118,93554661,"Neutral",1.01628310091381,1.02038334297872,"Neutral","Neutral",FALSE,FALSE
"GCLM",1.01671954739987,"chr1",93885199,93909456,"Neutral",1.01560096113843,1.02024804936748,"Neutral","Neutral",FALSE,FALSE
"ARHGAP29",1.01622522321716,"chr1",94148988,94275068,"Neutral",1.0149750628064,1.02016876661763,"Neutral","Neutral",FALSE,FALSE
"F3",1.01551369578518,"chr1",94529173,94541759,"Neutral",1.01414917805028,1.01981797135014,"Neutral","Neutral",FALSE,FALSE
"CNN3",1.01477532910423,"chr1",94896949,94927223,"Neutral",1.01331043989417,1.01939621945322,"Neutral","Neutral",FALSE,FALSE
"DPYD",1.01400129660457,"chr1",97077743,97995000,"Neutral",1.01247484974969,1.01881636623001,"Neutral","Neutral",FALSE,FALSE
"PALMD",1.01341641277659,"chr1",99646113,99694541,"Neutral",1.01180304447548,1.01850567001242,"Neutral","Neutral",FALSE,FALSE
"VAV3",1.01298202923554,"chr1",107571161,107965180,"Neutral",1.01122932614743,1.01851080829192,"Neutral","Neutral",FALSE,FALSE
"GPSM2",1.01256085216681,"chr1",108875350,108934545,"Neutral",1.0106503780029,1.01858730902473,"Neutral","Neutral",FALSE,FALSE
"CELSR2",1.01216220549274,"chr1",109249539,109275751,"Neutral",1.01010552398959,1.0186498631556,"Neutral","Neutral",FALSE,FALSE
"SORT1",1.01173888414128,"chr1",109309568,109397918,"Neutral",1.00956546936647,1.01859476872857,"Neutral","Neutral",FALSE,FALSE
"GSTM3",1.01120391432401,"chr1",109733932,109741038,"Neutral",1.00888886988696,1.01850655975497,"Neutral","Neutral",FALSE,FALSE
"CSF1",1.01065684136902,"chr1",109910242,109930992,"Neutral",1.00814860519393,1.0185688965981,"Neutral","Neutral",FALSE,FALSE
"PIFO",1.01024258408581,"chr1",111346600,111353013,"Neutral",1.00756009838483,1.01870429723237,"Neutral","Neutral",FALSE,FALSE
"SLC16A1",1.00969047505344,"chr1",112911847,112957593,"Neutral",1.00679100277265,1.01883665715892,"Neutral","Neutral",FALSE,FALSE
"SLC16A1-AS1",1.00919415747892,"chr1",112956415,113047055,"Neutral",1.00610644820108,1.01893411999931,"Neutral","Neutral",FALSE,FALSE
"MAGI3",1.00887820890547,"chr1",113390515,113685923,"Neutral",1.00552338280311,1.01946077272837,"Neutral","Neutral",FALSE,FALSE
"PTPN22",1.00853142995283,"chr1",113813811,113871753,"Neutral",1.00491406632761,1.01994214999216,"Neutral","Neutral",FALSE,FALSE
"OLFML3",1.00829187314085,"chr1",113979391,114035572,"Neutral",1.00437254864244,1.02065510759228,"Neutral","Neutral",FALSE,FALSE
"VANGL1",1.00805150354548,"chr1",115641970,115698224,"Neutral",1.00377985439039,1.02152612143434,"Neutral","Neutral",FALSE,FALSE
"CD2",1.00756232191516,"chr1",116754430,116769229,"Neutral",1.0029561917242,1.02209203679018,"Neutral","Neutral",FALSE,FALSE
"PTGFRN",1.00765520500052,"chr1",116909916,116990353,"Neutral",1.00264341032147,1.02346456007294,"Neutral","Neutral",FALSE,FALSE
"TTF2",1.00760202041727,"chr1",117060326,117107453,"Neutral",1.00220262306214,1.02463404096695,"Neutral","Neutral",FALSE,FALSE
"VTCN1",1.00740124327142,"chr1",117143587,117210960,"Neutral",1.00155925645983,1.02582938124343,"Neutral","Neutral",FALSE,FALSE
"TENT5C",1.00700614437598,"chr1",117606048,117628389,"Neutral",1.00076490548993,1.02669369503604,"Neutral","Neutral",FALSE,FALSE
"PHGDH",1.00685591061776,"chr1",119648411,119744218,"Neutral",1.00015950971819,1.02797923795022,"Neutral","Neutral",FALSE,FALSE
"TXNIP",1.00675073533319,"chr1",145992435,145996579,"Neutral",0.999608733661882,1.02927967907096,"Neutral","Neutral",FALSE,FALSE
"FCGR1A",1.00770704515122,"chr1",149782671,149791675,"Neutral",1.00010118807654,1.03169918825049,"Neutral","Neutral",FALSE,FALSE
"PLEKHO1",1.00874140560959,"chr1",150149183,150164720,"Neutral",1.0007534673859,1.03393879691592,"Neutral","Neutral",FALSE,FALSE
"ANP32E",1.01007962882421,"chr1",150218417,150236156,"Neutral",1.00167092075278,1.03660430912632,"Neutral","Neutral",FALSE,FALSE
"ADAMTSL4",1.01141676866805,"chr1",150549369,150560937,"Neutral",1.00252981895562,1.03945002871,"Neutral","Neutral",FALSE,FALSE
"CTSS",1.0128537199142,"chr1",150730079,150765957,"Neutral",1.0034967336395,1.04236967735019,"Neutral","Neutral",FALSE,FALSE
"SELENBP1",1.01480550288296,"chr1",151364304,151372707,"Neutral",1.00496510028864,1.04584636321979,"Neutral","Neutral",FALSE,FALSE
"CGN",1.01683801534902,"chr1",151510510,151538692,"Neutral",1.00644218955798,1.04963091923406,"Neutral","Neutral",FALSE,FALSE
"S100A10",1.01858959303995,"chr1",151982915,151993859,"Neutral",1.00767866967368,1.05300733612637,"Neutral","Gain",FALSE,TRUE
"S100A11",1.02044294350545,"chr1",152032506,152047907,"Neutral",1.00912854590061,1.05613341780068,"Neutral","Gain",FALSE,TRUE
"S100A9",1.02211770557338,"chr1",153357854,153361023,"Neutral",1.01054302889997,1.05862921194921,"Neutral","Gain",FALSE,TRUE
"S100A8",1.02386885931841,"chr1",153390032,153391073,"Neutral",1.01214304977574,1.06085710373846,"Neutral","Gain",FALSE,TRUE
"S100A6",1.02587689760021,"chr1",153534599,153536244,"Neutral",1.01396710779666,1.06344549485929,"Neutral","Gain",FALSE,TRUE
"S100A4",1.02698293950313,"chr1",153543613,153550136,"Neutral",1.01502715016263,1.06469663907771,"Neutral","Gain",FALSE,TRUE
"S100A2",1.02851149005144,"chr1",153561108,153567890,"Neutral",1.01659003902129,1.06611687183259,"Neutral","Gain",FALSE,TRUE
"S100A16",1.02988639801425,"chr1",153606886,153613145,"Neutral",1.01806081057993,1.06718938480078,"Neutral","Gain",FALSE,TRUE
"S100A14",1.03069957996638,"chr1",153614255,153616986,"Neutral",1.01902768267733,1.06751776196071,"Neutral","Gain",FALSE,TRUE
"S100A13",1.03114346545209,"chr1",153618787,153631360,"Neutral",1.01975796466222,1.06705822976137,"Neutral","Gain",FALSE,TRUE
"S100A1",1.03071037579504,"chr1",153627926,153632039,"Neutral",1.01965057724591,1.06559773521214,"Neutral","Gain",FALSE,TRUE
"NPR1",1.0295587645553,"chr1",153678688,153693992,"Neutral",1.01895345540842,1.06301246900509,"Neutral","Gain",FALSE,TRUE
"RPS27",1.02826469141242,"chr1",153990762,153992155,"Neutral",1.01811503417215,1.06028107385636,"Neutral","Gain",FALSE,TRUE
"IL6R",1.02663361688913,"chr1",154405193,154469450,"Neutral",1.01700481823166,1.05700698743705,"Neutral","Gain",FALSE,TRUE
"CKS1B",1.0250465264674,"chr1",154974653,154979251,"Neutral",1.01592178587397,1.0538298811783,"Neutral","Gain",FALSE,TRUE
"ADAM15",1.02335678810073,"chr1",155050566,155062775,"Neutral",1.01473150998104,1.05056462344215,"Neutral","Gain",FALSE,TRUE
"EFNA1",1.02179472477128,"chr1",155127876,155134899,"Neutral",1.01362829529424,1.04755515422705,"Neutral","Neutral",FALSE,FALSE
"MUC1",1.01996948669776,"chr1",155185824,155192916,"Neutral",1.01227276358868,1.04424826033432,"Neutral","Neutral",FALSE,FALSE
"RAB25",1.0175612092259,"chr1",156061160,156070504,"Neutral",1.01041963948476,1.04008879047023,"Neutral","Neutral",FALSE,FALSE
"MEX3A",1.01479062898539,"chr1",156072013,156082465,"Neutral",1.00819999329188,1.03558032738768,"Neutral","Neutral",FALSE,FALSE
"SEMA4A",1.01203772088747,"chr1",156147366,156177752,"Neutral",1.00593252912391,1.03129612043421,"Neutral","Neutral",FALSE,FALSE
"NAXE",1.00940855237126,"chr1",156591756,156609507,"Neutral",1.00380937088441,1.02707077796294,"Neutral","Neutral",FALSE,FALSE
"NES",1.00692324743857,"chr1",156668763,156677407,"Neutral",1.00177191310858,1.02317277056049,"Neutral","Neutral",FALSE,FALSE
"CRABP2",1.00446987249281,"chr1",156699606,156705816,"Neutral",0.999778870634466,1.01926730909451,"Neutral","Neutral",FALSE,FALSE
"ETV3",1.00196626894511,"chr1",157121191,157138474,"Neutral",0.997663881642077,1.01553784816743,"Neutral","Neutral",FALSE,FALSE
"KIRREL1",0.999658642456886,"chr1",157993273,158100262,"Neutral",0.995668668126438,1.0122447368521,"Neutral","Neutral",FALSE,FALSE
"MNDA",0.997552180851386,"chr1",158831351,158849506,"Neutral",0.993801798570418,1.00938249891789,"Neutral","Neutral",FALSE,FALSE
"PYHIN1",0.996013217904103,"chr1",158930796,158977059,"Neutral",0.992449796643368,1.00725378053511,"Neutral","Neutral",FALSE,FALSE
"SLAMF8",0.994605743391275,"chr1",159826811,159837492,"Neutral",0.991235031955708,1.00523841638452,"Neutral","Neutral",FALSE,FALSE
"IGSF9",0.993350663850933,"chr1",159927039,159945613,"Neutral",0.990150458050085,1.00344548876903,"Neutral","Neutral",FALSE,FALSE
"CD84",0.992239848594473,"chr1",160541095,160579516,"Neutral",0.989178124686417,1.00189784208702,"Neutral","Neutral",FALSE,FALSE
"SLAMF7",0.991398238503444,"chr1",160739057,160754821,"Neutral",0.988438782713997,1.00073363438311,"Neutral","Neutral",FALSE,FALSE
"F11R",0.99077370205161,"chr1",160995211,161021343,"Neutral",0.987931004036396,0.999740793715221,"Neutral","Neutral",FALSE,FALSE
"NECTIN4",0.990137133135406,"chr1",161070998,161089558,"Neutral",0.987335031852712,0.998976165251431,"Neutral","Neutral",FALSE,FALSE
"KLHDC9",0.989516058498766,"chr1",161098361,161100346,"Neutral",0.986770932213548,0.998175366978243,"Neutral","Neutral",FALSE,FALSE
