"patient_id","tumor_site","n_cells","chromosome","chr_num","mean_cnv"
"SPECTRUM-OV-054","Solid",56,"chr8",8,1.04954056649617
"SPECTRUM-OV-054","Solid",56,"chr9",9,0.975945431312022
"SPECTRUM-OV-054","Solid",56,"chr10",10,0.970770829364024
"SPECTRUM-OV-054","Solid",56,"chr11",11,1.00868678414915
"SPECTRUM-OV-054","Solid",56,"chr12",12,1.06451572796697
"SPECTRUM-OV-054","Solid",56,"chr13",13,0.947307025632369
"SPECTRUM-OV-054","Solid",56,"chr14",14,1.03212289237098
"SPECTRUM-OV-054","Solid",56,"chr15",15,0.995484846110174
"SPECTRUM-OV-054","Solid",56,"chr16",16,1.01453166203017
"SPECTRUM-OV-054","Solid",56,"chr17",17,0.966044099386395
"SPECTRUM-OV-054","Solid",56,"chr18",18,0.99507997903797
"SPECTRUM-OV-054","Solid",56,"chr19",19,1.10401772861191
"SPECTRUM-OV-054","Solid",56,"chr20",20,1.13668074311892
"SPECTRUM-OV-054","Solid",56,"chr21",21,1.04939244215782
"SPECTRUM-OV-054","Solid",56,"chr22",22,0.882038439635518
"SPECTRUM-OV-054","Ascites",1,"chr1",1,1.01152274790554
"SPECTRUM-OV-054","Ascites",1,"chr2",2,1.00194668673113
"SPECTRUM-OV-054","Ascites",1,"chr3",3,1.05691410788441
"SPECTRUM-OV-054","Ascites",1,"chr4",4,0.933625316507601
"SPECTRUM-OV-054","Ascites",1,"chr5",5,0.987686596645997
"SPECTRUM-OV-054","Ascites",1,"chr6",6,0.922076849899485
"SPECTRUM-OV-054","Ascites",1,"chr7",7,0.98979909352192
"SPECTRUM-OV-054","Ascites",1,"chr8",8,1.05945067455123
"SPECTRUM-OV-054","Ascites",1,"chr9",9,0.988076205060387
"SPECTRUM-OV-054","Ascites",1,"chr10",10,0.947644946821601
"SPECTRUM-OV-054","Ascites",1,"chr11",11,0.989259285753661
"SPECTRUM-OV-054","Ascites",1,"chr12",12,1.04592709056729
"SPECTRUM-OV-054","Ascites",1,"chr13",13,0.938957641276432
"SPECTRUM-OV-054","Ascites",1,"chr14",14,0.986929934914537
"SPECTRUM-OV-054","Ascites",1,"chr15",15,1.00194668673113
"SPECTRUM-OV-054","Ascites",1,"chr16",16,0.973592835566019
"SPECTRUM-OV-054","Ascites",1,"chr17",17,0.99756257439771
"SPECTRUM-OV-054","Ascites",1,"chr18",18,1.00194668673113
"SPECTRUM-OV-054","Ascites",1,"chr19",19,1.0741835418731
"SPECTRUM-OV-054","Ascites",1,"chr20",20,1.17457567631932
"SPECTRUM-OV-054","Ascites",1,"chr21",21,1.00194668673113
"SPECTRUM-OV-054","Ascites",1,"chr22",22,0.818044319972712
"SPECTRUM-OV-065","Solid",1500,"chr1",1,1.00765379774169
"SPECTRUM-OV-065","Solid",1500,"chr2",2,1.02410167048306
"SPECTRUM-OV-065","Solid",1500,"chr3",3,1.02548354954552
"SPECTRUM-OV-065","Solid",1500,"chr4",4,0.962215630610704
"SPECTRUM-OV-065","Solid",1500,"chr5",5,0.944235973030029
"SPECTRUM-OV-065","Solid",1500,"chr6",6,0.86770065705687
"SPECTRUM-OV-065","Solid",1500,"chr7",7,0.995114199000942
"SPECTRUM-OV-065","Solid",1500,"chr8",8,1.02634049692872
"SPECTRUM-OV-065","Solid",1500,"chr9",9,0.993301313921873
"SPECTRUM-OV-065","Solid",1500,"chr10",10,0.96671829897425
"SPECTRUM-OV-065","Solid",1500,"chr11",11,1.03345376454593
"SPECTRUM-OV-065","Solid",1500,"chr12",12,1.11378670181906
"SPECTRUM-OV-065","Solid",1500,"chr13",13,0.98131557661541
"SPECTRUM-OV-065","Solid",1500,"chr14",14,1.04899260853713
"SPECTRUM-OV-065","Solid",1500,"chr15",15,1.03112235962703
"SPECTRUM-OV-065","Solid",1500,"chr16",16,1.0338882327245
"SPECTRUM-OV-065","Solid",1500,"chr17",17,0.985306936697657
"SPECTRUM-OV-065","Solid",1500,"chr18",18,1.00830150010268
"SPECTRUM-OV-065","Solid",1500,"chr19",19,1.02153244814916
"SPECTRUM-OV-065","Solid",1500,"chr20",20,1.1309968164051
"SPECTRUM-OV-065","Solid",1500,"chr21",21,1.00766853166076
"SPECTRUM-OV-065","Solid",1500,"chr22",22,0.899545625676475
"SPECTRUM-OV-065","Ascites",883,"chr1",1,1.02104711430835
"SPECTRUM-OV-065","Ascites",883,"chr2",2,1.01977415452683
"SPECTRUM-OV-065","Ascites",883,"chr3",3,1.05010387786173
"SPECTRUM-OV-065","Ascites",883,"chr4",4,0.996043337769792
"SPECTRUM-OV-065","Ascites",883,"chr5",5,0.957213447931835
"SPECTRUM-OV-065","Ascites",883,"chr6",6,0.904814063646982
"SPECTRUM-OV-065","Ascites",883,"chr7",7,1.03822340256361
"SPECTRUM-OV-065","Ascites",883,"chr8",8,1.02320910009881
"SPECTRUM-OV-065","Ascites",883,"chr9",9,1.00042628039909
"SPECTRUM-OV-065","Ascites",883,"chr10",10,0.974255292484692
"SPECTRUM-OV-065","Ascites",883,"chr11",11,0.972763468094713
"SPECTRUM-OV-065","Ascites",883,"chr12",12,1.11280629940304
